https://www.sports.ru/tribuna/blogs/damnnn/; ФК и не только!; Осторожно! Тут много Загитовой!; 27 января 2019; Закрытый; 10; Фигурное катание; Алина Загитова| Этери Тутберидзе| Даниил Глейхенгауз; https://www.sports.ru/profile/1064852169/
https://www.sports.ru/tribuna/blogs/danache/; О спорте эмоционально; Мыслю вслух, пишу в стол; 27 ноября 2018; Закрытый; 3; Фигурное катание; Алина Загитова| Елизавета Туктамышева| Алексей Мишин| Евгения Медведева| Татьяна Тарасова| Станислава Константинова; https://www.sports.ru/profile/1052003786/
https://www.sports.ru/tribuna/blogs/danasdybr/; Неформат; не о теннисе; 5 января 2010; Закрытый; 25; Фигурное катание; Мохаммед Али; https://www.sports.ru/profile/3090008/
https://www.sports.ru/tribuna/blogs/dancesport/; Танцевальный спорт; Для интересующихся, о бальных/спортивных танцах; 21 сентября 2009; Закрытый; 4; Фигурное катание; спортивные танцы; https://www.sports.ru/profile/33770265/
https://www.sports.ru/tribuna/blogs/dariamorozenko/; ФК в мире; ФК в мире; 15 марта 2019; Открытый c премодерацией; 1; Фигурное катание; чемпионат Европы| ISU| сборная России| чемпионат мира| ФФКР| женское катание; https://www.sports.ru/profile/1071449879/
https://www.sports.ru/tribuna/blogs/darling/; Три гроша; Записки истинного дилетанта; 4 января 2015; Закрытый; 45; Фигурное катание; Брайан Орсер| Курт Браунинг; https://www.sports.ru/profile/146724523/
https://www.sports.ru/tribuna/blogs/dashanasha/; Мэрил & Чарли; Блог о американских танцорах на льду; 30 апреля 2011; Открытый c премодерацией; 4; Фигурное катание; Чарли Уайт; https://www.sports.ru/profile/94291516/
https://www.sports.ru/tribuna/blogs/digestfk/; Дайджест ФК; Обзор главных событий в фигурном катании; 22 октября 2018; Закрытый; 6; Фигурное катание; видео; https://www.sports.ru/profile/1068072667/
https://www.sports.ru/tribuna/blogs/dikrutim_na_ldu/; фигурненькое катаньице; А что тут скажешь?; 1 ноября 2018; Открытый c премодерацией; 1; Фигурное катание; женское катание; https://www.sports.ru/profile/1052514704/
https://www.sports.ru/tribuna/blogs/dinamo1/; Фигурное катание; Мнение народа; 3 сентября 2013; Открытый c премодерацией; 2; Фигурное катание; женское катание| мужское катание; https://www.sports.ru/profile/152603315/
https://www.sports.ru/tribuna/blogs/dinaras/; Фигурные комментарии ; Транскрипция комментариев во время прокатов фигуристов; 4 марта 2019; Закрытый; 4; Фигурное катание; женское катание; https://www.sports.ru/profile/1066194672/
https://www.sports.ru/tribuna/blogs/dinarasimon/; Хочу поделиться; Елизавета Туктамышева; 1 марта 2019; Открытый; 1; Фигурное катание; Елизавета Туктамышева; https://www.sports.ru/profile/1066194672/
https://www.sports.ru/tribuna/blogs/dingior/; Чиполац; Страсти на льду и вокруг него; 6 февраля 2016; Закрытый; 21; Фигурное катание; Этери Тутберидзе; https://www.sports.ru/profile/1036908044/
https://www.sports.ru/tribuna/blogs/discourseoffigureskating/; В дискурсе фигурки; Конькито эрго сум | без конька и жизнь не та; 25 ноября 2017; Открытый c премодерацией; 1; Фигурное катание; чемпионат России| Гран-при| чемпионат Европы| чемпионат мира; https://www.sports.ru/profile/1056824949/
https://www.sports.ru/tribuna/blogs/dmonanews/; Фигуристы недели; Фотографии замечательных фигуристов со всего мира; 23 марта 2014; Открытый; 8; Фигурное катание; сборная России; https://www.sports.ru/profile/7345099/
